ep,part,title,status,prose_chars,hook,laugh,martial,dragon,foreshadow_planted,foreshadow_paid
30,1,안 죽였구나,done,4060,방의 다섯 글자,-,기세 누출,참는다는 선택,네 글자 전언,-
31,1,열둘의 겨울,done,4060,무 삼백 개,빗자루 열한 자루,-,눈에 처박힌 화척이,막내부터 굶는다,-
32,1,화척이 날다,done,3897,꼬리 뽑기 반 시진,빨랫줄 통과 후 짚신,경공 활강 습득,화척 3단계,스무 장 짚신,-
33,1,남궁호의 겨울,done,3816,소환장을 화로에,-,-,유백 추적,방 붙기 전과 후,-
34,1,백 영감의 항아리,done,3937,약초밭 첫 출입,첫 술 세 사발,-,천독문의 과거,제자 만나러 갈 때 가져가라,-
35,1,궤짝,done,3885,봉인 항아리를 본 8호,-,-,마등우의 삼백 명 명단,1호가 비어 있는 이유,-
36,1,앉지 않는 자,done,3959,패를 내려놓다,도마 다섯 개 파손,무 썰기 제어,마교 삼분,검은 옷 일곱,-
37,1,하촌의 일곱,done,3938,정중한 침입자,-,-,사가온의 한 줄 기록,관도에서 스쳐 지나가다,-
38,1,눈 위의 두 사람,done,3796,조삼의 이름,-,유백의 무극권,남궁호·유백 조우,안 죽였구나,-
39,1,네 글자,done,3839,다시 말해주십시오,'불도 못 때시면서',-,"전언 전달, 장독 개봉",반대쪽 비탈의 젊은이,-
40,1,문 앞에서,done,4846,이틀의 등산,-,멈춘 주먹,닷새의 문 앞,바위의 손자국,-
41,1,손자국,done,4669,닷새 지난 자국 앞의 침묵,8호의 관찰/9호의 눈치,-,콧김 대답,유백의 첫 거짓말 / 권보 두 번째 줄,무릎·이마 자국(40화)
42,1,씨는 눕혀서 심는다,done,4404,씨앗 자루를 받다,구덩이 세 번 실패,힘 빼는 손,밭 진입,무림맹 초소 편성,-
43,1,밟힌 밭,done,4072,밭 두 줄이 사라지다,짚신 서른 장 명중,진각으로 흙 풀기,밭 밟기/경계 학습,밭 밑의 뼈,이십 리 밖 진동 오해
44,1,밭 밑에 있던 것,done,4256,뼈 발굴,백 영감 술잔 놓침,-,백구십 년 전 짐승의 뼈,이름을 안 물은 이유,화척이의 포효
45,1,소금이 떨어졌다,done,4033,화척이 단식,심부름 목록 폭주,-,단식,엿·누룩·호미날,작년 소금 목격담
46,1,방에 붙은 얼굴,done,3934,초소 앞,초상화가 하나도 안 닮음,-,-,9호의 사촌 / 유백 방,무극권신 소문
47,1,빈 지게,done,3640,남궁호의 등장,3호입니다,-,-,유백 사살 백 냥,너는 아직 할 일이 있다
48,1,소금 여덟 가마,done,4029,여덟 가마 주문,아이고 무겁습니다,한 손 정지,-,두 푼 보고서,소금값 소문
49,1,안 죽인다,done,3751,여섯의 미행,국밥 여섯 그릇,한 뼘 진각,-,산적 자수,안 죽였구나(30·39화)
50,1,사흘째 밤,done,3885,대문 앞의 화척이,엿이네,-,사흘 단식/기다림,천 노인의 이백 년 전 짐승,화척이 언어 소거
51,1,봄배추 사백 포기,done,4005,솥뚜껑 세 번,짜다고 말했다가 걸림,-,-,양세중 이름,마등우의 손
52,1,나무를 베러 왔다,done,4129,도끼 소리,규칙 해석 궤변,-,산책 지시,초소 상향 이전,백 영감 약초밭
53,1,밤에 지나간 것,done,3720,별이 꺼진다,빨랫줄과 이불,-,첫 비행,이무기 소문 / 산신 소문,화척이 성장
54,1,열흘 비,done,3995,장마,헛간 문설주,대들보 들기,비 회피,임 노파와 하촌,도랑 굽히기
55,1,돼지 한 마리,done,3756,제물 행렬,돼지를 안다,-,-,하촌 축문,우물(17·21·23화)
56,1,굴러떨어진 것,done,4126,돼지 처분 회의,꿀꿀이,-,돼지와 동거,배추씨 답례,유백이 소문을 듣다
57,1,삼복,done,3697,더위,천 노인 물벼락,-,웅덩이 입수,여름이 위험하다,작년 여름 넷
58,1,팔백 포기,done,3659,첫 포기 판정,한숨 여섯 종류 강의,-,밭 앞 절,소금 열여섯 가마,밭 밑의 뼈
59,1,1호,done,3597,돌에 묶인 편지,조사대장의 등짐,-,편지 배달 비행,1호 공석의 유래,유백에게 서른이 모임
60,1,일 년,done,3694,첫눈,영원히 막내,-,돼지와 동거,대문 앞의 발소리,1호 공석 / 문 앞의 자국
61,2,열네 살,done,3587,열네 살에 팔리다,-,안 밀리는 법,미등장,권보 두 번째 줄,국밥 한 그릇
62,2,밥부터,done,3524,백 명 앞에서 밭,무공 대신 밭,바위 갈라짐,-,흐려진 작은 글씨,사부의 문장 반복
63,2,소권신,done,3655,열둘의 습격,-,힘 조절 실패,-,소권신이라는 이름,부목 묶기
64,2,배추를 씻고 계시오,done,3502,남궁호 방문,-,-,-,곽진강이 반년 앓은 일,소금 두 푼 소문
65,2,열이레,done,3660,토벌령,-,한 자 함몰,-,편지 백 통,밭에서 모이시오
66,2,삼백,done,3629,삼백 도착,-,백사십 무사상,-,무림맹 진술 기록,안 죽인다
67,2,못 나간다,done,3636,남궁호의 절규,-,-,-,천 노인의 이백사십 년 전,일곱 번째 한숨
68,2,여드레,done,3563,이백 리 강행군,-,다리를 먹는다,-,권보 반환,하촌 아이의 증언
69,2,문 안쪽,done,3540,문 앞의 침묵,빗자루 핑계,문틀 함몰,문턱을 넘다,화척이가 나가다,마음이 빈 자
70,2,눈 위의 일곱,done,3540,권보만 남아 있다,-,일곱의 걸음 읽기,문턱을 넘어 나가다,마교 일곱 / 북쪽 자국,1호 공석의 유래(1화)
71,2,오 리,done,3515,자국을 따라 내려가다,화척이가 마당을 어지르다,바퀴 자국 읽기,꼬리로 빗자루질 방해,갈림길 셋 / 대문 옆 잠자리,화전민 위장(48화)
72,2,지하 이 층,done,3503,돌천장에서 깨다,-,-,-,위종 / 지하 층수,문 앞에서 돌아선 자(70화)
73,2,사망 추정,done,3526,네 글자를 적다,-,-,김이 나는 등,사가온이 한 줄을 더하다,서문경-마교 편지(36화)
74,2,배추 백 포기,done,3517,열여드레 만의 개울,비워둔 밥그릇,호미가 반 치 들어가다,-,백 영감의 항아리 / 빈자리 열한 번,항아리(34화)/일곱 번째 한숨(67화)
75,2,두 번째 줄,done,3529,서른을 세다,-,돌바닥이 반 치 꺼지다,-,오독을 권하다 / 손가락 여섯,권보 오독(61화)
76,2,스물세 장,done,3534,붓이 마르다,찢은 겉잎을 본인이 먹다,덧쓰기 세 번,찢어진 건 안 먹음,나가면 버리는 것,스물한 해 전의 글씨(70화)
77,2,흉터 열한 개,done,3535,첫째 갈래가 내려오다,빗자루 소리 두 시진,-,-,앉지 않은 자도 죽는다,혁련휘의 무명산 나흘(36화)
78,2,조사대장,done,3521,남궁호 사직,-,-,-,새 조사대장 / 사백,검은 옷 일곱(36·37화)/편지 백 통(65화)
79,2,마흔 장,done,3519,네 장부터,박수를 안 친다,쥐는 자리를 옮기다,마흔 장을 먹다,벌판의 진,겉잎 다섯 장(76화)/구 노인의 굳은살
80,2,짚신,done,3574,땅의 울림,억지 잘 부리는 놈,땅 읽기 성공,-,하촌 이전 명령,임 노파의 마을(17·20·21화)
81,2,소금 두 되,done,3572,소금은 핑계,사백을 왜 세냐,-,데려갈 방법이 없음,길목을 잡는다,소금 심부름(17·45화)
82,2,작게 만들어라,done,3511,골짜기 훈련,꼬리만 줄여 넘어짐,힘을 빼야 작아진다,몸 압축 시도,쓸 데가 산 밖에 있다,작게 만들어라(15·18화)
83,2,고양이만 한 것,done,3513,압축 성공,평상·장독·돼지 참사,무게 불변 원리,고양이 크기 달성,지속 시간 미상,작게 만들수록 무거워진다(15화)
84,2,지게 위의 것,done,3550,발자국 한 자,도마뱀입니다,발자국 한 치로 줄이기,지게에 실려 하산,붉은 짐승 기록,씨 눕히기(42화)/천 노인의 그날 밤(70화)
85,2,스물여섯,done,3582,굴뚝 열아홉,-,-,압축 한계 징후,사람 열여덟이 줄었다,우물(21화)/두레박 줄(56·68화)
86,2,창고에 안 들어간다,done,3527,무사의 질문에 대답,넷이 지게를 못 든다,무게 흩기 실패,압축 한계 임박,이백 년 된 창고 / 서쪽 골짜기,우물의 내력(37화)/화전민 위장(48화)
87,2,열여덟 장,done,3504,압축이 풀린다,-,무게가 도로 퍼진다,기본형 복귀 / 못 난다,사흘 도보 / 지게 파손,천 노인의 약속(84화)/2호의 지게(83화)
88,2,이름을 대시오,done,3521,불빛 스물 앞으로 걷다,품에서 나온 것 셋,안 뿌리친다,-,촌장의 첫 거짓말,편지 스물세 통(78화)/남궁호 하촌行(78화)
89,2,곽 서방,done,3534,이름을 못 댄다,백칠십넷의 발바닥 재기,반 자 자국의 셈,-,마을 이전 열흘,서문경의 선발 기준(78화)/아이의 물(85화)
90,2,두레박 줄,done,3545,짐을 안 싼다,봄배추 사백 포기 실종,-,사흘 걸어 문턱을 넘다,줄은 물이 아니다,소금 심부름(81화)/두레박 줄(85화)
91,2,스무 발,done,3983,마흔 발짜리 삼,화척이 밭일 노역·버리기 아까워서 얹는 짐,-,압축형으로 이랑을 도랑으로,없어진 마을의 문패/그때도 스무 발이 필요했다,임 노파의 삼 스무 발(90화)/2호의 지게(87화 파손)
92,2,집 일곱,done,3843,헐리는 소리 오 리 밖,백 짐을 혼자 하루에 나름·환갑이 배추를 먹어서,이백 걸음 왕복 사만 걸음 무게 흩기,-,일곱 무더기를 묶은 서른다섯 발,천 노인의 마흔 발(91화)/창고(86화)
93,2,하룻밤,done,3627,무사 스물이 무더기 하나를 못 옮김,스물이 반나절에 마흔 걸음·손바닥 여섯,구덩이 넉 자를 세 호흡에 팜,대문 밖으로 목만 내밀다,조사대장이 산을 열 호흡 봄,일곱 무더기 묶기(92화)/촌장의 곰방대 불(92화)
94,2,보류,done,3513,서문경이 명령서를 보류함,문서 담당의 셈,-,-,「저 마을을 남긴다」,하촌 봉쇄 해제
95,2,미끼,done,3585,미끼는 이미 거기 있다,압축형 발자국 한 자,-,압축형이 조심해서 밟아도 한 자,「아는 미끼는 안 움직이네」,남궁호의 두 줄 편지
96,2,소금 만드는 법,done,3602,편지를 품고 하루를 보냄,노괴 아홉의 소금 대책(바다 팔백 리·서역·잿물·안 먹기),-,회의를 듣고 항아리 냄새를 맡음,화척이가 문턱을 넘어 사라짐,남궁호의 편지(95화)/백 영감 빈 항아리
97,2,도마뱀,done,3670,이틀 만에 하촌 목책 앞,남궁호의 세 번의 거짓말·「애들 손이 대단하오」,자국 이천 개를 이틀에 지움,압축형으로 마루 밑에 숨음,「마을에 개가 한 마리 들어옴」,아이의 도마뱀(89화)/부관의 서랍(90·92화)
98,2,업어 오는 것,done,3707,마루 밑의 눈 둘,「무겁소?」 「무겁습니다」·대장간 사내의 수레,수레 바퀴가 반 자 박히고 축은 안 부러짐,압축형으로 아이를 재우고 나옴,오십 리짜리 고랑은 못 지운다,미끼 구조 고지(95화)/헐린 서까래(92화)
99,2,셋째 갈래,done,3587,나흘을 업고 걸음,자국을 하나 빼먹고 돌아가 지움·등에서 나던 소리,자국 사천 개를 뒷걸음으로 밈,나흘째 압축을 붙들고 있음,장수가 「곽 서방」을 말함,유백의 오독(76화)/이백 년 전 없어진 마을(91화)
100,2,곽 서방이라는 사람,done,3614,검은 옷 일곱이 목책 앞,-,기울어진 방향으로 시공을 읽는 유백,밭 메우기와 육백 포기 약속,「뭐가 안 들어오고 있다」,천 노인의 문패(91화)/집 일곱(93화)/사망 추정(73화)
101,2,모른다,done,3624,촌장의 세 번째 대답,답답한데 화가 안 나는 젊은이·인사를 두 번 함,-,-,무사 스물이 명령서에 없는 것을 스스로 정함,남궁호의 떡(101)/애 스물둘
102,2,사이에 서다,done,3627,스물과 일곱이 마주 섬,「밭 매는 분한테 배웠습니다」·칼등에 남은 손등 자국,손등으로 칼등을 받아 발이 발목까지 박힘,-,아무도 안 죽고 검을 든 쪽이 물러남,유백의 손가락 넷째(102)
103,2,못 들어가는 사람,done,3529,남궁호가 결계 앞에서 막힘,「애들이 우물을 놀이 삼아 파네」의 뒷맛,자국을 지우며 걷는 버릇을 남이 읽음,-,「열두 번째 장을 못 펴겠습니다」,곽진강의 흔적 지우기(97)/결계(68)
104,2,열두 번째 장,done,3520,권보를 펴다,-,서른에 손가락 하나를 잃고 십 년을 판 내력,-,「제 손가락은 다 있습니다. 그 아이는 다섯입니다」,오자의 기원 확정/유백의 한 장(99)
105,2,마당의 규칙,done,3721,「셋째다」,노괴들이 또 물건을 얹음·9호는 말만 얹음,재로 윗줄을 뭉개고 굵게 다시 씀,사흘 뒤에 안 오면 오라는 부탁,천 노인이 문패를 맡아둠,91화 문패/2호의 지게
106,2,사흘 길,done,3706,사흘을 이틀에 걷기로 함,검문소 무사가 빈 물통을 내밈,-,-,마을이 유백을 지키는 것을 보고 방향을 바꿈,위종의 「아직 사람이라고 적게」
107,2,심부름,done,3808,아이가 우물가에서 알아봄,「나 이거 갖다주면 뭐 줘요」,-,무 싹 열셋을 아이에게 줌,「물 한 모금 얻을 수 있겠습니까」,무 싹(94)/촌장의 「모른다」
108,2,물 한 모금,done,3508,두레박을 들어 먹여줌,-,두레박을 아주 천천히 올림,-,「여기가 달빛이 낫습니다」,줄 꼬는 법(92·93)/결계(103)
109,2,굵은 글씨,done,3613,유백이 종이를 폄,-,-,-,「내가 늦었다」 / 편지 스물세 통,78화 편지/104화 교정
110,2,데리고 가는 것,done,4177,업으면 이틀이라는 셈,촌장의 「판 뒤에는 물이 있소」,자국을 세 배로 지움,「도마뱀도요?」 「데려오겠습니다」,「우리는 아무것도 못 봤소」,우물(작년)/남궁호의 사직서
111,2,바위 사이,done,3600,유백이 네 번째로 막힘,-,손은 넘어오고 몸이 안 넘어옴,사흘째 대문 앞에서 안 먹고 기다림,「자네는 갈 데가 있다. 저 마을이다」,결계의 정체/천 노인이 바위 밖으로
112,2,갈 데가 있는 사람,done,3729,「빚이 없는 자들이 오는 데다」,-,-,바위 밖으로 나온 압축형,유백과 화척이의 첫 대면,능선 무사 스물의 교대 없음
113,2,앉는 자리,done,3622,콧등에 사람이 넘어짐,저울이 부러졌다·기대면 어깨가 반 자 박힘,-,유백을 재보고 옆자리를 내줌,「굶은 애한테 싱거운 걸 주는 법은 없다」,임 노파의 소금 두 되(105)
114,2,바위 밖의 집,done,3737,남궁호가 나무를 벰,지붕보다 큰 짐승이 들어간 셈 침,구멍 넉 자를 세 호흡에·미는 손,-,유백의 왼손이 시리기 시작,기둥을 안 깎는 이유(93)/10호의 평상
115,2,잊힌 스물,done,3826,나흘 만의 빗물,-,-,-,서문경이 직접 무명산으로 출발,「접촉 금지」가 목을 조름/촌장의 우물
116,2,열흘,done,3726,열흘째 반나절에 넉 자,나무가 남아서 짰습니다,자갈을 밀어 안 굴리는 법을 스스로 찾음,-,손가락 하나가 반 치 움직임,작년 곽진강의 말이 마을에 남음
117,2,반 치,done,3752,곽진강이 먼저 그것을 봄,화척 어르신이라 부름,밀리는 쪽으로 같이 감,기대는 것을 받아냄,「총단에서 사람이 온답니다」,곽진강의 팔 년·이 년/남궁호의 절반
118,2,두 번째 우물,done,4168,서문경이 하촌에 닿음,-,날개 서른 장을 말로 접게 함,날개를 폈다가 접음,「그건 대답 안 하셔도 됩니다」,찢은 명령서 반쪽/무사와 마을이 함께 팜
119,2,걸어 들어가다,done,3682,낮에 숨지 않고 걸어 들어감,「곽 서방입니다」에 곰방대를 떨어뜨림,포박 자세를 사십 년 만에 처음,다섯 치 꺼진 자리를 서문경이 못 본 척함,「그 사람 지금 어디 있소」,수배 방 두 장/스물셋이라는 숫자
120,2,종이 두 장,done,4324,「살아 있습니다」,「밭 가는 걸 가르쳤습니다」,마지막 두 자를 반 시진에 팜,-,손가락 둘이 폄,재로 덮기(105)/두 번째 우물
121,2,빚은 못 갚는다,done,3667,네 번째로 막힘,「여기 열여섯은 다 뻔뻔한 자들이다」,-,-,「저 아래로 가라. 거기서 살아라」,천 노인의 진단/10호의 평상
122,2,유 서방,done,3594,살러 왔습니다,촌장이 이마를 곰방대로 짚음,-,-,「대신 밭 가는 건 가르쳐드리겠습니다」,재로 덮인 방/최 서방네 집
123,2,스물일곱째 집,done,3809,벌판에서 셋이 옴,-,-,-,「세 번째 우물 자리를 여쭤봐 주십시오」,백 명은 무리가 아니라 밥 타는 줄
124,2,자리를 잡는 법,done,3637,「자리는 발로 잡는 걸세」,-,빈터 오십 바퀴·시린 손으로 자리를 찾음,-,「우리 마을 첫 우물도 열두 자였소」,곽진강의 첫 자리 실패 고백
125,2,열한 자,done,3927,열 자에 물이 안 남,-,-,-,창고에서 「상촌」 문패가 나옴,기다리는 자리를 너무 닦으면 못 앉는다
126,2,가을 배추 육백,done,3997,배추 육백·이백은 저놈 몫,4호와 앉아서 배추 뽑기,-,사흘을 굶다가 유백 얘기에 먹음,「그 일곱은 깎지 마라」,9호=상촌을 지은 목수
127,2,이백 년 만의 손님,done,3743,9호를 지게에 업고 나옴,-,-,-,「그러면 아직 상촌이다」,2호의 사람 지는 지게(105화)
128,2,놓을 게 없는 사람,done,3884,9호가 감,2호의 기운 관,구덩이 여섯 자를 여섯 호흡에,-,셋째 규칙 개정,천 노인의 이백사십 년 전 고백
129,2,서른째 집,done,3807,사람 삼백·집 서른둘,마을에서 대패가 사라짐,-,-,넷째 손가락 반 치 (아무한테도 안 말함),깎은 나무는 썩고 안 깎은 나무는 안 썩음
130,2,열여섯째,done,4093,최 서방이 돌아옴,「여기서는 이름을 안 씁니다」,-,콧등에 안 넘어짐,유백이 9호가 됨,문턱을 넘음/손가락 셋
131,2,3호와 9호,done,3819,유백의 첫 아침,물지게를 못 놓는 곽진강,-,압축형으로 배추 한 포기,1호 자리의 빈 그릇,-
132,2,번호와 일,done,4084,안 쓰는 그릇을 매일 씻는 임 노파,번호가 올라가도 일은 그대로,-,유백이 들어야 먹음,「그 사람은 나보다 손이 빨랐다」,빈 그릇의 정체
133,2,편 가르기,done,3948,화척이가 유백을 따라감,밥상 자리 밀림·가운데가 제일 나쁨,-,용마루/밥상/우물 전부 파괴,짚신 한 짝,천 노인이 대문에 나감
134,2,바위 밖의 집,done,3624,천 노인이 밤이슬을 맞고 앉음,-,손으로 꺾은 장작 단면,-,매달 오던 장작·남궁호가 못 들어오는 이유,「두고 간 게다」
135,2,열일곱 독,done,3823,김장 지시,배추 백 포기·지붕 붕괴,-,지붕 위 세 걸음에 서까래 둘,이백사십 번 묻고 버린 열일곱째 독,240년째 기다림의 방식
136,2,눈은 지울 수 없다,done,3777,눈 위의 발자국 넷,-,눈이 안 울게 걷는 법,발자국 앞에서 네 걸음 물러섬,해마다 한 걸음씩 가까워짐,결계를 넘을 수 있는 자
137,2,먼저 있던 것,done,3980,대문을 막고 엎드린 화척이,꼬리가 담장을 막아 소금 못 감,-,화척이가 240년 전부터 이 숲에 있었음,「마당을 치워야 한다」(168년 전),화척이가 무서워한 이유
138,2,위에는 뭐가 있었소,done,3690,지게가 석 자 박힘,지게를 물어다 주는 화척이,땅을 눌러 기둥을 세움,압축형이 지게를 부숨,「위에는 뭐가 있었소」,목책 밑동의 200년 된 검댕
139,2,안고 나온 것,done,3611,탄 나무 위에 앉은 마을,-,이백 년 된 숯을 손끝으로 앎,-,주춧돌 여섯·하촌과 은자림의 정확한 가운데,문패 뒷면의 두 손자국
140,2,밥 있나,done,4398,문패 뒷면을 천 노인에게 보임,-,자국 없이 눈 위에 서는 걸음,등을 낮춰 길을 내줌,200년 전 그자가 마당에 들어왔던 밤,1호가 240년 만에 바위 사이에 섬
141,3,밖에 차린 상,done,3926,「밥 있나」 뒤의 침묵 — 열여섯이 아무도 안 움직인다,두 해째 상을 나르는 선배 / 백 영감 「나는 팔십팔 년 만에 면했는데」,무겁게 놓는 법을 모르는 손 — 그릇을 내려놓는데 소리가 안 난다,압축형으로 문턱까지 가서 1호의 손에 콧등을 댄다. 곽진강의 손짓이 처음으로 안 통한다,1호가 결계를 못 넘는다(빚) / 이백사십 년 빈 그릇에 처음 밥이 담긴다 / 1호가 곽진강이 3호인 것을 안다,131·132화 빈 그릇 / 111·121화 결계는 빚이 없는 자만 통과시킨다
142,3,매일 오는 사람,done,3731,「자네가 3호 아닌가」의 근거를 묻는다,선배가 됐는데 상이 하나 늘었다 / 백 영감이 자갈에 한 치 반을 눌러 앉고 「술을 끊어야겠군」,자갈이 안 눌린다 — 한 식경을 앉아 밥을 먹으며 무게를 안 싣는다,압축형으로 문턱 안쪽에 앉아 밖을 본다 / 평상 다리를 땅에 박는다,3호는 이백사십 년째 상을 든다 / 임 노파의 쌀 한 홉 / 두 해짜리가 2호인 게 이상하다(표일도),141화 곽진강의 손짓이 안 통함
143,3,자국을 지우는 사람,done,3552,천 노인 「내일은 상을 들고 나가라」,「제가 하면 아무도 안 드십니다」 / 용의 발자국이 산에 길을 낸다,흙이 밀려난 반대로 돌아가 원래 결로 앉는다 — 구덩이 스무 개가 열 호흡에 사라진다,밤마다 혼자 산을 내려갔다 / 1호 「저놈 자국이 제일 어렵네」,1호가 이백사십 년 동안 매일 산의 자국을 지웠다 / 곽진강의 사흘 치 자국을 마저 지운 것이 1호다,141화 1호가 결계를 못 넘는 이유의 반대편(밖의 일)
144,3,위를 안 보는 마을,done,3651,「자네 자국을 마저 지운 게 날세」,아낙이 손끝만 보고 산은 안 본다 / 「누가 지나갔습니까」,맨발이 언 비탈에서 한 번도 안 미끄러진다 / 사람 사이 빈 곳으로만 걷는다,-,첫째 그림자 — 하촌의 금기 「위를 보지 마라」 여섯 자 / 일곱 번 다시 새긴 선돌 / 마지막 층은 며칠 안 됐다 / 그 말을 처음 한 사람은 마을 사람이 아니었다,139화 상촌 문패 / 136화 남궁호의 끊긴 길
145,3,내놓은 자리,done,3557,하촌 돌가루를 천 노인에게 보이지만 「밥 먹어라」로 닫힌다,팔십팔 년 담근 술을 화척이가 반 병 반으로 만든다 / 「저놈은 제 제자가 아닙니다」,술이 목이 아니라 뼈를 울린다 / 고양이만 한 것이 담장 밑 흙을 세 번 꺼뜨린다,고양이만 하게 줄여 술병 셋을 기울기로 굴린다,번호 반납제의 정체 — 번호는 자리에 붙는다 / 백 영감의 옛 번호에 지금 13호가 앉아 있다 / 백 영감은 곽진강이 들어온 해에 내놨다 / 「3호 자리는 누구 자리였습니까」에 대답을 안 한다,60화 「자네들은 번호가 있잖나」
146,3,열넷에게 물었다,done,3597,백 영감이 대답을 안 한 것 때문에 밤을 샌다,「짐승한테입니다」 / 10호가 넷을 데려와 담장에 붙어 구경한다 / 13호의 십오 호,구 노인이 말 대신 땅에 줄을 하나 긋는다,-,임 노파 「오늘은 열일곱」 / 「밥을 먹으면 식구다」 / 구 노인 「번호가 아니다」 / 백 영감 「모르는 놈은 되묻네」 — 열넷 중 되물은 사람이 없다,145화 「3호 자리는 누구 자리였습니까」의 침묵
147,3,짐승에게 묻는다,done,3500,천 노인이 헛간을 가리킨다 — 답을 아는 건 짐승뿐,환갑에 용에게 존댓말을 안 쓴 것만 다행 / 백 영감의 「저놈이 내 앞에서 트림을 하더군」,개만 한 것이 일어서는데 헛간 기둥이 흔들린다 — 크기는 개고 무게는 용이다,앞발로 자국 셋을 찍어 「둘과 열 걸음」을 알린다 / 곽진강을 밖으로 끌고 간다,화척이가 천 노인보다 먼저 이 숲에 있었다 / 열 걸음 떨어진 자리,44화 화척이의 내력 / 141화 화척이가 1호를 알아본 것
148,3,열 걸음,done,3503,바위 밑 마른 풀 — 사람 하나가 누울 자리,「보면 모르느냐」 / 용이 팔을 눌러 못 일어난다 / 유백의 밥은 십사 년째 싱겁다,삭은 풀이 한 자 — 해마다 삭는 두께로 연수를 잰다,반대쪽 구석에 다져진 자국 — 짐승도 거기서 잤다,1호는 결계에서 열 걸음 밖에서 이백사십 년 잤다 / 누우면 대문만 보인다 / 임 노파의 표가 새겨진 닳은 나무 숟가락,141화 「숟가락이 빠졌습니다 / 안 빠졌다」 / 143화 자국 메우기를 곽진강과 유백이 물려받는다
